0,1
"{'to_table': 'dimSource', 'Title': 'The Land Girls', 'US_Gross': '146083', 'Worldwide_Gross': '146083', 'US_DVD_Sales': '', 'Production_Budget': '8000000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '6.1', 'IMDB_Votes': '1071', 'Director': '', 'Distributor': 'Gramercy', 'Release_Date': '35958', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'First Love, Last Rites', 'US_Gross': '10876', 'Worldwide_Gross': '10876', 'US_DVD_Sales': '', 'Production_Budget': '300000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '6.9', 'IMDB_Votes': '207', 'Director': '', 'Distributor': 'Strand', 'Release_Date': '36014', 'Major_Genre': 'Drama', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'I Married A Strange Person', 'US_Gross': '203134', 'Worldwide_Gross': '203134', 'US_DVD_Sales': '', 'Production_Budget': '250000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '6.8', 'IMDB_Votes': '865', 'Director': '', 'Distributor': 'Lionsgate', 'Release_Date': '36035', 'Major_Genre': 'Comedy', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': ""Let'S Talk About Sex"", 'US_Gross': '373615', 'Worldwide_Gross': '373615', 'US_DVD_Sales': '', 'Production_Budget': '300000', 'Rotten_Tomatoes_Rating': '13', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': '', 'Distributor': 'Fine Line', 'Release_Date': '36049', 'Major_Genre': 'Comedy', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Slam', 'US_Gross': '1009819', 'Worldwide_Gross': '1087521', 'US_DVD_Sales': '', 'Production_Budget': '1000000', 'Rotten_Tomatoes_Rating': '62', 'IMDB_Rating': '3.4', 'IMDB_Votes': '165', 'Director': '', 'Distributor': 'Trimark', 'Release_Date': '36077', 'Major_Genre': 'Drama', 'Creative_Type': 'Contemporary Fiction', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Mississippi Mermaid', 'US_Gross': '24551', 'Worldwide_Gross': '2624551', 'US_DVD_Sales': '', 'Production_Budget': '1600000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '', 'IMDB_Votes': '', 'Director': '', 'Distributor': 'Mgm', 'Release_Date': '36175', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Following', 'US_Gross': '44705', 'Worldwide_Gross': '44705', 'US_DVD_Sales': '', 'Production_Budget': '6000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '7.7', 'IMDB_Votes': '15133', 'Director': 'Christopher Nolan', 'Distributor': 'Zeitgeist', 'Release_Date': '36254', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Foolish', 'US_Gross': '6026908', 'Worldwide_Gross': '6026908', 'US_DVD_Sales': '', 'Production_Budget': '1600000', 'Rotten_Tomatoes_Rating': '', 'IMDB_Rating': '3.8', 'IMDB_Votes': '353', 'Director': '', 'Distributor': 'Artisan', 'Release_Date': '36259', 'Major_Genre': 'Comedy', 'Creative_Type': 'Contemporary Fiction', 'Source': 'Original Screenplay'}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Pirates', 'US_Gross': '1641825', 'Worldwide_Gross': '6341825', 'US_DVD_Sales': '', 'Production_Budget': '40000000', 'Rotten_Tomatoes_Rating': '25', 'IMDB_Rating': '5.8', 'IMDB_Votes': '3275', 'Director': 'Roman Polanski', 'Distributor': '', 'Release_Date': '31594', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
"{'to_table': 'dimSource', 'Title': 'Duel In The Sun', 'US_Gross': '20400000', 'Worldwide_Gross': '20400000', 'US_DVD_Sales': '', 'Production_Budget': '6000000', 'Rotten_Tomatoes_Rating': '86', 'IMDB_Rating': '7', 'IMDB_Votes': '2906', 'Director': '', 'Distributor': '', 'Release_Date': '17167', 'Major_Genre': '', 'Creative_Type': '', 'Source': ''}","{'Title': 'fact', 'US_Gross': 'fact', 'Worldwide_Gross': 'fact', 'US_DVD_Sales': 'fact', 'Production_Budget': 'fact', 'Rotten_Tomatoes_Rating': 'fact', 'IMDB_Rating': 'fact', 'IMDB_Votes': 'fact', 'Director': 'dimDirector', 'Distributor': 'dimDist', 'Release_Date': 'dimRelease', 'Major_Genre': 'dimGenre', 'Creative_Type': 'dimType', 'Source': 'dimSource'}"
